src_ip,dst_ip,src_port,dst_port,packet_len,tcp_flags,window_size,rst_flag,ack_flag,syn_flag,rst_ack_flags,attack_type,label
192.168.154.144,216.171.98.66,40659,3436,62,2,14600,0,0,1,0,normal,0
192.168.154.144,192.168.154.138,34114,8443,60,16,320,0,1,0,0,normal,0
216.171.98.66,192.168.154.144,3436,40659,60,18,64240,0,1,1,0,normal,0
192.168.154.144,216.171.98.66,40659,3436,60,16,14600,0,1,0,0,normal,0
192.168.154.144,216.171.98.66,40659,3436,60,17,14600,0,1,0,0,normal,0
216.171.98.66,192.168.154.144,3436,40659,60,16,64239,0,1,0,0,normal,0
216.171.98.66,192.168.154.144,3436,40659,60,25,64239,0,1,0,0,normal,0
192.168.154.144,216.171.98.66,40659,3436,60,16,14600,0,1,0,0,normal,0
192.168.154.144,216.171.98.69,33843,3436,62,2,14600,0,0,1,0,normal,0
216.171.98.69,192.168.154.144,3436,33843,60,18,64240,0,1,1,0,normal,0
192.168.154.144,216.171.98.69,33843,3436,60,16,14600,0,1,0,0,normal,0
192.168.154.144,216.171.98.69,33843,3436,60,17,14600,0,1,0,0,normal,0
216.171.98.69,192.168.154.144,3436,33843,60,16,64239,0,1,0,0,normal,0
216.171.98.69,192.168.154.144,3436,33843,60,25,64239,0,1,0,0,normal,0
192.168.154.144,216.171.98.69,33843,3436,60,16,14600,0,1,0,0,normal,0
192.168.154.144,216.171.98.67,59036,3436,62,2,14600,0,0,1,0,normal,0
216.171.98.67,192.168.154.144,3436,59036,60,18,64240,0,1,1,0,normal,0
192.168.154.144,216.171.98.67,59036,3436,60,16,14600,0,1,0,0,normal,0
192.168.154.144,216.171.98.67,59036,3436,60,17,14600,0,1,0,0,normal,0
216.171.98.67,192.168.154.144,3436,59036,60,16,64239,0,1,0,0,normal,0
216.171.98.67,192.168.154.144,3436,59036,60,25,64239,0,1,0,0,normal,0
192.168.154.144,216.171.98.67,59036,3436,60,16,14600,0,1,0,0,normal,0
192.168.154.144,216.171.98.68,58238,3436,62,2,14600,0,0,1,0,normal,0
216.171.98.68,192.168.154.144,3436,58238,60,18,64240,0,1,1,0,normal,0
192.168.154.144,216.171.98.68,58238,3436,60,4,0,1,0,0,0,normal,0
192.168.154.144,216.171.98.67,59196,3436,62,2,14600,0,0,1,0,normal,0
216.171.98.67,192.168.154.144,3436,59196,60,18,64240,0,1,1,0,normal,0
192.168.154.144,216.171.98.67,59196,3436,60,16,14600,0,1,0,0,normal,0
192.168.154.144,216.171.98.67,59196,3436,60,17,14600,0,1,0,0,normal,0
216.171.98.67,192.168.154.144,3436,59196,60,16,64239,0,1,0,0,normal,0
216.171.98.67,192.168.154.144,3436,59196,60,25,64239,0,1,0,0,normal,0
192.168.154.144,216.171.98.67,59196,3436,60,16,14600,0,1,0,0,normal,0
192.168.154.144,216.171.98.67,59278,3436,62,2,14600,0,0,1,0,normal,0
216.171.98.67,192.168.154.144,3436,59278,60,18,64240,0,1,1,0,normal,0
192.168.154.144,216.171.98.67,59278,3436,60,16,14600,0,1,0,0,normal,0
192.168.154.144,216.171.98.67,59278,3436,60,17,14600,0,1,0,0,normal,0
216.171.98.67,192.168.154.144,3436,59278,60,16,64239,0,1,0,0,normal,0
192.168.154.100,192.168.154.138,8986,4444,62,2,14600,0,0,1,0,normal,0
192.168.154.138,192.168.154.100,4444,8986,60,20,0,1,1,0,1,normal,0
192.168.154.100,192.168.154.138,8987,4444,62,2,14600,0,0,1,0,normal,0
192.168.154.138,192.168.154.100,4444,8987,60,20,0,1,1,0,1,normal,0
216.171.98.67,192.168.154.144,3436,59278,60,25,64239,0,1,0,0,normal,0
192.168.154.144,216.171.98.67,59278,3436,60,16,14600,0,1,0,0,normal,0
192.168.154.144,192.168.154.138,34560,8443,62,2,14600,0,0,1,0,normal,0
192.168.154.138,192.168.154.144,8443,34560,62,18,32120,0,1,1,0,normal,0
192.168.154.144,192.168.154.138,34560,8443,60,16,229,0,1,0,0,normal,0
192.168.154.144,192.168.154.138,34560,8443,301,24,229,0,1,0,0,normal,0
192.168.154.138,192.168.154.144,8443,34560,60,16,250,0,1,0,0,normal,0
192.168.154.138,192.168.154.144,8443,34560,1569,24,250,0,1,0,0,normal,0
192.168.154.144,192.168.154.138,34560,8443,60,16,274,0,1,0,0,normal,0
192.168.154.144,192.168.154.138,34560,8443,248,24,274,0,1,0,0,normal,0
192.168.154.138,192.168.154.144,8443,34560,296,24,249,0,1,0,0,normal,0
192.168.154.144,192.168.154.138,34560,8443,468,24,320,0,1,0,0,normal,0
192.168.154.138,192.168.154.144,8443,34560,196,24,249,0,1,0,0,normal,0
192.168.154.138,192.168.154.144,8443,34560,85,25,249,0,1,0,0,normal,0
192.168.154.144,192.168.154.138,34560,8443,60,20,365,1,1,0,1,normal,0
192.168.154.144,192.168.154.138,34114,8443,60,17,320,0,1,0,0,normal,0
192.168.154.138,192.168.154.144,8443,34114,60,16,249,0,1,0,0,normal,0
192.168.154.144,192.168.154.138,34562,8443,62,2,14600,0,0,1,0,normal,0
192.168.154.138,192.168.154.144,8443,34562,62,18,32120,0,1,1,0,normal,0
192.168.154.144,192.168.154.138,34562,8443,60,16,229,0,1,0,0,normal,0
192.168.154.144,192.168.154.138,34562,8443,301,24,229,0,1,0,0,normal,0
192.168.154.138,192.168.154.144,8443,34562,60,16,250,0,1,0,0,normal,0
192.168.154.138,192.168.154.144,8443,34562,1569,24,250,0,1,0,0,normal,0
192.168.154.144,192.168.154.138,34562,8443,60,16,274,0,1,0,0,normal,0
192.168.154.144,192.168.154.138,34562,8443,248,24,274,0,1,0,0,normal,0
192.168.154.138,192.168.154.144,8443,34562,296,24,249,0,1,0,0,normal,0
192.168.154.144,192.168.154.138,34562,8443,391,24,320,0,1,0,0,normal,0
192.168.154.138,192.168.154.144,8443,34562,85,24,249,0,1,0,0,normal,0
192.168.154.138,192.168.154.144,8443,34562,60,17,249,0,1,0,0,normal,0
192.168.154.144,192.168.154.138,34562,8443,60,16,320,0,1,0,0,normal,0
192.168.154.144,216.171.98.69,34249,3436,62,2,14600,0,0,1,0,normal,0
216.171.98.69,192.168.154.144,3436,34249,60,18,64240,0,1,1,0,normal,0
192.168.154.144,216.171.98.69,34249,3436,60,16,14600,0,1,0,0,normal,0
192.168.154.144,216.171.98.69,34249,3436,60,17,14600,0,1,0,0,normal,0
216.171.98.69,192.168.154.144,3436,34249,60,16,64239,0,1,0,0,normal,0
216.171.98.69,192.168.154.144,3436,34249,60,25,64239,0,1,0,0,normal,0
192.168.154.144,216.171.98.69,34249,3436,60,16,14600,0,1,0,0,normal,0
192.168.154.144,216.171.98.68,58564,3436,62,2,14600,0,0,1,0,normal,0
216.171.98.68,192.168.154.144,3436,58564,60,18,64240,0,1,1,0,normal,0
192.168.154.144,216.171.98.68,58564,3436,60,16,14600,0,1,0,0,normal,0
192.168.154.144,216.171.98.68,58564,3436,60,17,14600,0,1,0,0,normal,0
216.171.98.68,192.168.154.144,3436,58564,60,16,64239,0,1,0,0,normal,0
216.171.98.68,192.168.154.144,3436,58564,60,25,64239,0,1,0,0,normal,0
192.168.154.144,216.171.98.68,58564,3436,60,16,14600,0,1,0,0,normal,0
192.168.154.144,216.171.98.66,41305,3436,62,2,14600,0,0,1,0,normal,0
216.171.98.66,192.168.154.144,3436,41305,60,18,64240,0,1,1,0,normal,0
192.168.154.144,216.171.98.66,41305,3436,60,4,0,1,0,0,0,normal,0
192.168.154.144,216.171.98.70,45344,3436,62,2,14600,0,0,1,0,normal,0
216.171.98.70,192.168.154.144,3436,45344,60,18,64240,0,1,1,0,normal,0
192.168.154.144,216.171.98.70,45344,3436,60,4,0,1,0,0,0,normal,0
192.168.154.144,216.171.98.69,34569,3436,62,2,14600,0,0,1,0,normal,0
216.171.98.69,192.168.154.144,3436,34569,60,18,64240,0,1,1,0,normal,0
192.168.154.144,216.171.98.69,34569,3436,60,16,14600,0,1,0,0,normal,0
192.168.154.144,216.171.98.69,34569,3436,60,17,14600,0,1,0,0,normal,0
216.171.98.69,192.168.154.144,3436,34569,60,16,64239,0,1,0,0,normal,0
216.171.98.69,192.168.154.144,3436,34569,60,25,64239,0,1,0,0,normal,0
192.168.154.144,216.171.98.69,34569,3436,60,16,14600,0,1,0,0,normal,0
192.168.154.144,216.171.98.66,41547,3436,62,2,14600,0,0,1,0,normal,0
192.168.154.100,192.168.154.138,8992,4444,62,2,14600,0,0,1,0,normal,0
192.168.154.138,192.168.154.100,4444,8992,60,20,0,1,1,0,1,normal,0
192.168.154.100,192.168.154.138,8993,4444,62,2,14600,0,0,1,0,normal,0
192.168.154.138,192.168.154.100,4444,8993,60,20,0,1,1,0,1,normal,0
216.171.98.66,192.168.154.144,3436,41547,60,18,64240,0,1,1,0,normal,0
192.168.154.144,216.171.98.66,41547,3436,60,4,0,1,0,0,0,normal,0
192.168.154.144,192.168.154.138,35046,8443,62,2,14600,0,0,1,0,normal,0
192.168.154.138,192.168.154.144,8443,35046,62,18,32120,0,1,1,0,normal,0
192.168.154.144,192.168.154.138,35046,8443,60,16,229,0,1,0,0,normal,0
192.168.154.144,192.168.154.138,35046,8443,301,24,229,0,1,0,0,normal,0
192.168.154.138,192.168.154.144,8443,35046,60,16,250,0,1,0,0,normal,0
192.168.154.138,192.168.154.144,8443,35046,1569,24,250,0,1,0,0,normal,0
192.168.154.144,192.168.154.138,35046,8443,60,16,274,0,1,0,0,normal,0
192.168.154.144,192.168.154.138,35046,8443,248,24,274,0,1,0,0,normal,0
192.168.154.138,192.168.154.144,8443,35046,296,24,249,0,1,0,0,normal,0
192.168.154.144,192.168.154.138,35046,8443,468,24,320,0,1,0,0,normal,0
192.168.154.138,192.168.154.144,8443,35046,196,24,249,0,1,0,0,normal,0
192.168.154.138,192.168.154.144,8443,35046,85,25,249,0,1,0,0,normal,0
192.168.154.144,192.168.154.138,35046,8443,60,20,365,1,1,0,1,normal,0
192.168.154.144,192.168.154.138,34562,8443,60,17,320,0,1,0,0,normal,0
192.168.154.138,192.168.154.144,8443,34562,60,16,249,0,1,0,0,normal,0
192.168.154.144,192.168.154.138,35048,8443,62,2,14600,0,0,1,0,normal,0
192.168.154.138,192.168.154.144,8443,35048,62,18,32120,0,1,1,0,normal,0
192.168.154.144,192.168.154.138,35048,8443,60,16,229,0,1,0,0,normal,0
192.168.154.144,192.168.154.138,35048,8443,301,24,229,0,1,0,0,normal,0
192.168.154.138,192.168.154.144,8443,35048,60,16,250,0,1,0,0,normal,0
192.168.154.138,192.168.154.144,8443,35048,1569,24,250,0,1,0,0,normal,0
192.168.154.144,192.168.154.138,35048,8443,60,16,274,0,1,0,0,normal,0
192.168.154.144,192.168.154.138,35048,8443,248,24,274,0,1,0,0,normal,0
192.168.154.138,192.168.154.144,8443,35048,296,24,249,0,1,0,0,normal,0
192.168.154.144,192.168.154.138,35048,8443,391,24,320,0,1,0,0,normal,0
192.168.154.138,192.168.154.144,8443,35048,85,24,249,0,1,0,0,normal,0
192.168.154.138,192.168.154.144,8443,35048,60,17,249,0,1,0,0,normal,0
192.168.154.144,192.168.154.138,35048,8443,60,16,320,0,1,0,0,normal,0
192.168.154.144,216.171.98.69,34735,3436,62,2,14600,0,0,1,0,normal,0
216.171.98.69,192.168.154.144,3436,34735,60,18,64240,0,1,1,0,normal,0
192.168.154.144,216.171.98.69,34735,3436,60,16,14600,0,1,0,0,normal,0
192.168.154.144,216.171.98.69,34735,3436,60,17,14600,0,1,0,0,normal,0
216.171.98.69,192.168.154.144,3436,34735,60,16,64239,0,1,0,0,normal,0
216.171.98.69,192.168.154.144,3436,34735,60,25,64239,0,1,0,0,normal,0
192.168.154.144,216.171.98.69,34735,3436,60,16,14600,0,1,0,0,normal,0
192.168.154.144,216.171.98.68,59050,3436,62,2,14600,0,0,1,0,normal,0
216.171.98.68,192.168.154.144,3436,59050,60,18,64240,0,1,1,0,normal,0
192.168.154.144,216.171.98.68,59050,3436,60,16,14600,0,1,0,0,normal,0
192.168.154.144,216.171.98.68,59050,3436,60,17,14600,0,1,0,0,normal,0
216.171.98.68,192.168.154.144,3436,59050,60,16,64239,0,1,0,0,normal,0
216.171.98.68,192.168.154.144,3436,59050,60,25,64239,0,1,0,0,normal,0
192.168.154.144,216.171.98.68,59050,3436,60,16,14600,0,1,0,0,normal,0
192.168.154.144,216.171.98.69,34895,3436,62,2,14600,0,0,1,0,normal,0
216.171.98.69,192.168.154.144,3436,34895,60,18,64240,0,1,1,0,normal,0
192.168.154.144,216.171.98.69,34895,3436,60,16,14600,0,1,0,0,normal,0
192.168.154.144,216.171.98.69,34895,3436,60,17,14600,0,1,0,0,normal,0
216.171.98.69,192.168.154.144,3436,34895,60,16,64239,0,1,0,0,normal,0
216.171.98.69,192.168.154.144,3436,34895,60,25,64239,0,1,0,0,normal,0
192.168.154.144,216.171.98.69,34895,3436,60,16,14600,0,1,0,0,normal,0
192.168.154.144,216.171.98.67,60088,3436,62,2,14600,0,0,1,0,normal,0
216.171.98.67,192.168.154.144,3436,60088,60,18,64240,0,1,1,0,normal,0
192.168.154.144,216.171.98.67,60088,3436,60,4,0,1,0,0,0,normal,0
192.168.154.144,216.171.98.67,60170,3436,62,2,14600,0,0,1,0,normal,0
216.171.98.67,192.168.154.144,3436,60170,60,18,64240,0,1,1,0,normal,0
192.168.154.144,216.171.98.67,60170,3436,60,4,0,1,0,0,0,normal,0
192.168.154.100,192.168.154.138,8999,4444,62,2,14600,0,0,1,0,normal,0
192.168.154.138,192.168.154.100,4444,8999,60,20,0,1,1,0,1,normal,0
192.168.154.100,192.168.154.138,9000,4444,62,2,14600,0,0,1,0,normal,0
192.168.154.138,192.168.154.100,4444,9000,60,20,0,1,1,0,1,normal,0
192.168.154.144,192.168.154.138,35494,8443,62,2,14600,0,0,1,0,normal,0
192.168.154.138,192.168.154.144,8443,35494,62,18,32120,0,1,1,0,normal,0
192.168.154.144,192.168.154.138,35494,8443,60,16,229,0,1,0,0,normal,0
192.168.154.144,192.168.154.138,35494,8443,301,24,229,0,1,0,0,normal,0
192.168.154.138,192.168.154.144,8443,35494,60,16,250,0,1,0,0,normal,0
192.168.154.138,192.168.154.144,8443,35494,1569,24,250,0,1,0,0,normal,0
192.168.154.144,192.168.154.138,35494,8443,60,16,274,0,1,0,0,normal,0
192.168.154.144,192.168.154.138,35494,8443,248,24,274,0,1,0,0,normal,0
192.168.154.138,192.168.154.144,8443,35494,296,24,249,0,1,0,0,normal,0
192.168.154.144,192.168.154.138,35494,8443,468,24,320,0,1,0,0,normal,0
192.168.154.138,192.168.154.144,8443,35494,196,24,249,0,1,0,0,normal,0
192.168.154.138,192.168.154.144,8443,35494,85,25,249,0,1,0,0,normal,0
192.168.154.144,192.168.154.138,35494,8443,60,20,365,1,1,0,1,normal,0
192.168.154.144,216.171.98.70,45994,3436,62,2,14600,0,0,1,0,normal,0
216.171.98.70,192.168.154.144,3436,45994,60,18,64240,0,1,1,0,normal,0
192.168.154.144,216.171.98.70,45994,3436,60,4,0,1,0,0,0,normal,0
192.168.154.144,192.168.154.138,35048,8443,60,17,320,0,1,0,0,normal,0
192.168.154.138,192.168.154.144,8443,35048,60,16,249,0,1,0,0,normal,0
192.168.154.144,192.168.154.138,35534,8443,62,2,14600,0,0,1,0,normal,0
192.168.154.138,192.168.154.144,8443,35534,62,18,32120,0,1,1,0,normal,0
192.168.154.144,192.168.154.138,35534,8443,60,16,229,0,1,0,0,normal,0
192.168.154.144,192.168.154.138,35534,8443,301,24,229,0,1,0,0,normal,0
192.168.154.138,192.168.154.144,8443,35534,60,16,250,0,1,0,0,normal,0
192.168.154.138,192.168.154.144,8443,35534,1569,24,250,0,1,0,0,normal,0
192.168.154.144,192.168.154.138,35534,8443,60,16,274,0,1,0,0,normal,0
192.168.154.144,192.168.154.138,35534,8443,248,24,274,0,1,0,0,normal,0
192.168.154.138,192.168.154.144,8443,35534,296,24,249,0,1,0,0,normal,0
192.168.154.144,192.168.154.138,35534,8443,391,24,320,0,1,0,0,normal,0
192.168.154.138,192.168.154.144,8443,35534,85,24,249,0,1,0,0,normal,0
192.168.154.138,192.168.154.144,8443,35534,60,17,249,0,1,0,0,normal,0
192.168.154.144,192.168.154.138,35534,8443,60,16,320,0,1,0,0,normal,0
192.168.154.144,216.171.98.70,46076,3436,62,2,14600,0,0,1,0,normal,0
216.171.98.70,192.168.154.144,3436,46076,60,18,64240,0,1,1,0,normal,0
192.168.154.144,216.171.98.70,46076,3436,60,16,14600,0,1,0,0,normal,0
192.168.154.144,216.171.98.70,46076,3436,60,17,14600,0,1,0,0,normal,0
216.171.98.70,192.168.154.144,3436,46076,60,16,64239,0,1,0,0,normal,0
216.171.98.70,192.168.154.144,3436,46076,60,25,64239,0,1,0,0,normal,0
192.168.154.144,216.171.98.70,46076,3436,60,16,14600,0,1,0,0,normal,0
192.168.154.100,192.168.154.138,36259,4444,62,2,14600,0,0,1,0,attack1,1
192.168.154.100,192.168.154.138,36260,4444,62,2,14600,0,0,1,0,attack1,1
192.168.154.100,192.168.154.138,36261,4444,62,2,14600,0,0,1,0,attack1,1
192.168.154.100,192.168.154.138,36262,4444,62,2,14600,0,0,1,0,attack1,1
192.168.154.138,192.168.154.100,4444,36259,60,20,0,1,1,0,1,attack1,1
192.168.154.138,192.168.154.100,4444,36260,60,20,0,1,1,0,1,attack1,1
192.168.154.138,192.168.154.100,4444,36261,60,20,0,1,1,0,1,attack1,1
192.168.154.138,192.168.154.100,4444,36262,60,20,0,1,1,0,1,attack1,1
216.171.98.66,192.168.154.144,3436,57382,60,18,64240,0,1,1,0,attack1,1
192.168.154.100,192.168.154.138,36321,4444,62,2,14600,0,0,1,0,attack1,1
192.168.154.100,192.168.154.138,36322,4444,62,2,14600,0,0,1,0,attack1,1
192.168.154.100,192.168.154.138,36323,4444,62,2,14600,0,0,1,0,attack1,1
192.168.154.100,192.168.154.138,36324,4444,62,2,14600,0,0,1,0,attack1,1
192.168.154.138,192.168.154.100,4444,36321,60,20,0,1,1,0,1,attack1,1
192.168.154.138,192.168.154.100,4444,36322,60,20,0,1,1,0,1,attack1,1
192.168.154.138,192.168.154.100,4444,36323,60,20,0,1,1,0,1,attack1,1
192.168.154.138,192.168.154.100,4444,36324,60,20,0,1,1,0,1,attack1,1
192.168.154.100,192.168.154.138,36383,4444,62,2,14600,0,0,1,0,attack1,1
192.168.154.100,192.168.154.138,36384,4444,62,2,14600,0,0,1,0,attack1,1
192.168.154.100,192.168.154.138,36385,4444,62,2,14600,0,0,1,0,attack1,1
192.168.154.100,192.168.154.138,36386,4444,62,2,14600,0,0,1,0,attack1,1
192.168.154.138,192.168.154.100,4444,36383,60,20,0,1,1,0,1,attack1,1
192.168.154.138,192.168.154.100,4444,36384,60,20,0,1,1,0,1,attack1,1
